"특성별(1)",특성별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"특성별(1)",특성별(2),시내버스,시내버스,시내버스,시내버스,시내버스,시내버스,시외버스,시외버스,시외버스,시외버스,시외버스,시외버스,택시,택시,택시,택시,택시,택시
"특성별(1)",특성별(2),매우 불만족 (%),약간 불만족 (%),보통이다 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통이다 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통이다 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점)
"전체",소계,2.9,21.0,45.2,27.5,3.4,3.08,2.7,21.2,46.2,26.4,3.6,3.07,2.4,18.9,48.6,25.7,4.4,3.11
"시도별",제주시 전체,3.0,23.9,45.0,26.0,2.0,3.00,2.8,24.6,46.9,23.9,1.9,2.98,2.5,22.9,48.6,23.0,3.1,3.01
"시도별",서귀포시 전체,2.4,11.7,45.9,32.1,8.0,3.32,2.4,11.8,44.4,33.1,8.2,3.33,2.1,7.1,48.7,33.9,8.2,3.39
"읍면별",제주시 동부,2.8,24.6,45.4,25.0,2.1,2.99,2.4,25.9,48.1,21.7,1.9,2.95,2.4,24.6,49.7,20.1,3.3,2.97
"읍면별",제주시 읍면부,3.7,21.2,43.3,30.3,1.5,3.05,4.0,19.8,42.7,31.5,1.9,3.07,2.9,16.1,43.9,34.8,2.2,3.17
"읍면별",서귀포시 동부,3.5,13.8,40.1,33.9,8.7,3.31,3.1,13.2,40.8,34.7,8.2,3.32,3.2,8.1,44.2,35.5,9.1,3.39
"읍면별",서귀포시 읍면부,1.0,9.3,52.7,29.9,7.1,3.33,1.6,10.4,48.4,31.4,8.2,3.34,0.8,6.0,54.2,31.9,7.1,3.38
"소득별",100만원 미만,2.9,16.3,42.9,32.1,5.7,3.21,2.1,16.3,45.7,29.3,6.6,3.22,1.6,13.1,49.0,29.5,6.8,3.27
"소득별",100~200만원 미만,2.7,16.3,46.5,29.7,4.9,3.18,1.8,19.2,48.1,25.9,5.0,3.13,2.9,15.9,48.0,28.2,5.0,3.17
"소득별",200~300만원 미만,2.1,16.4,45.1,31.6,4.8,3.21,2.5,19.6,45.4,27.3,5.1,3.13,1.9,14.2,45.3,31.7,6.9,3.28
"소득별",300~400만원 미만,2.0,17.5,51.6,26.7,2.2,3.10,1.4,19.4,48.1,28.7,2.5,3.12,2.8,14.8,51.9,25.7,4.8,3.15
"소득별",400~500만원 미만,5.2,16.5,52.4,24.5,1.5,3.01,5.1,15.8,50.7,25.0,3.3,3.06,3.4,14.2,54.1,24.7,3.5,3.11
