"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"특성별(1)",특성별(2),대중교통버스,대중교통버스,대중교통버스,대중교통버스,대중교통버스,대중교통버스,택시,택시,택시,택시,택시,택시,선박,선박,선박,선박,선박,선박,항공기,항공기,항공기,항공기,항공기,항공기
"특성별(1)",특성별(2),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점)
"주거점유형태별",자기집,14.1,41.0,30.7,11.3,2.9,3.52,8.8,34.3,42.2,11.5,3.2,3.34,9.0,28.5,52.1,8.2,2.1,3.34,10.7,38.3,40.6,8.5,1.9,3.47
"주거점유형태별",전세,11.7,24.9,44.5,14.1,4.8,3.24,7.7,28.9,47.2,10.7,5.4,3.23,8.8,28.0,53.6,6.4,3.1,3.33,10.2,28.7,49.2,11.3,0.6,3.36
"주거점유형태별",보증금 있는 연/월세,14.0,35.8,31.5,13.4,5.4,3.40,7.5,33.2,40.7,13.7,4.9,3.25,9.4,26.7,51.2,10.1,2.6,3.30,12.0,34.9,40.7,9.1,3.3,3.43
"주거점유형태별",보증금 없는 연/월세,18.8,42.1,27.4,9.0,2.8,3.65,8.6,37.9,41.9,9.9,1.7,3.42,10.4,27.9,48.7,11.2,1.8,3.34,15.9,38.5,39.2,5.6,0.8,3.63
"주거점유형태별",무상 및 기타,14.3,44.2,26.5,12.3,2.8,3.55,8.7,39.7,35.9,12.7,3.0,3.38,6.6,35.6,50.3,3.7,3.8,3.37,18.7,41.0,33.4,5.7,1.1,3.71
"성별",남성,14.4,37.5,31.1,13.6,3.4,3.46,8.4,33.0,42.2,12.3,4.1,3.29,8.6,28.5,50.3,9.8,2.8,3.30,12.1,36.8,40.4,8.7,2.1,3.48
"성별",여성,14.1,41.3,31.0,10.1,3.6,3.52,8.5,35.6,41.3,11.6,3.0,3.35,9.5,28.3,53.4,7.0,1.9,3.37,11.2,37.6,40.7,8.3,2.1,3.48
"연령별",15~19세,14.1,37.4,34.0,12.1,2.3,3.49,10.6,33.8,43.4,9.7,2.5,3.40,14.0,22.1,50.8,10.3,2.8,3.34,21.0,32.9,38.2,6.3,1.5,3.66
"연령별",20~29세,9.1,35.7,36.3,13.4,5.5,3.30,5.8,31.7,47.4,13.0,2.1,3.26,6.8,24.0,58.0,9.2,2.0,3.25,11.0,32.4,44.3,10.1,2.3,3.40
"연령별",30~39세,9.5,32.9,34.9,16.8,5.8,3.24,6.2,29.0,41.1,17.0,6.7,3.11,8.4,26.7,50.4,11.1,3.4,3.26,10.8,37.0,41.3,8.3,2.6,3.45
"연령별",40~49세,11.9,41.1,31.1,11.6,4.3,3.45,6.8,30.9,45.2,12.5,4.7,3.23,8.3,25.4,53.9,9.7,2.7,3.27,7.9,35.6,42.8,10.9,2.8,3.35
"연령별",50~59세,14.6,39.9,31.4,11.8,2.2,3.53,8.1,35.7,39.8,13.2,3.2,3.32,10.3,30.1,50.4,7.2,2.0,3.40,12.0,35.9,41.6,8.4,2.2,3.47
"연령별",60세 이상,21.2,44.3,24.7,8.1,1.8,3.75,12.8,41.2,36.7,7.2,2.1,3.55,9.1,37.4,47.0,5.0,1.4,3.48,13.1,44.8,35.1,6.0,0.9,3.63
"학력별",초등학교 졸업 이하,30.4,38.3,16.0,11.8,3.5,3.80,12.7,35.6,36.2,8.8,6.8,3.39,20.1,30.9,41.3,3.9,3.8,3.60,21.0,36.7,29.8,10.3,2.2,3.64
"학력별",중학교 졸업,18.2,39.4,28.8,10.2,3.4,3.59,11.0,37.2,37.0,11.2,3.6,3.41,11.0,30.8,48.8,6.8,2.7,3.41,13.1,39.5,35.7,9.3,2.4,3.52
"학력별",고등학교 졸업,10.0,39.5,36.0,11.8,2.7,3.42,6.0,32.2,47.0,11.9,2.8,3.27,6.2,27.2,54.5,10.0,2.2,3.25,9.7,36.7,44.4,7.6,1.7,3.45
"학력별",대학교 졸업 이상,14.9,39.4,26.9,13.7,5.1,3.45,8.9,33.9,39.4,13.3,4.5,3.29,10.8,27.2,51.8,8.3,1.9,3.37,12.2,35.1,41.6,8.9,2.3,3.46
