"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),시내버스,시내버스,시내버스,시내버스,시내버스,시내버스,시외버스,시외버스,시외버스,시외버스,시외버스,시외버스,택시,택시,택시,택시,택시,택시
"특성별(1)",특성별(2),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점),매우 만족 (%),약간 만족 (%),보통 (%),약간 불만족 (%),매우 불만족 (%),5점 평균 (점)
"연령별",30~39세,4.4,27.6,51.1,10.8,6.1,3.13,3.0,20.6,49.5,21.3,5.6,2.94,3.1,25.7,54.6,11.4,5.2,3.10
"연령별",40~49세,7.6,31.8,46.2,10.6,3.8,3.29,5.7,25.9,45.4,17.6,5.5,3.09,4.5,26.7,53.2,11.4,4.1,3.16
"연령별",50~59세,5.2,34.4,47.4,9.0,3.9,3.28,4.0,27.4,49.2,14.2,5.2,3.11,4.9,30.3,50.3,10.0,4.4,3.21
"연령별",60세 이상,10.5,41.8,35.0,9.1,3.7,3.46,8.9,36.4,40.6,11.0,3.1,3.37,9.3,38.5,41.0,8.1,3.1,3.43
"학력별",초등학교 졸업 이하,11.3,44.5,30.2,9.3,4.7,3.48,9.3,40.5,37.5,8.5,4.2,3.42,10.1,40.9,38.1,8.1,2.7,3.48
"학력별",중학교 졸업,11.7,43.5,33.6,8.7,2.4,3.53,8.5,34.2,43.7,11.1,2.4,3.35,9.6,35.2,42.4,8.8,4.0,3.38
"학력별",고등학교 졸업,6.3,35.1,45.5,9.8,3.2,3.32,4.9,27.7,47.6,15.6,4.2,3.13,5.8,30.1,51.4,9.2,3.5,3.25
"학력별",대학교 졸업,8.0,27.5,49.7,10.7,4.2,3.24,4.0,20.8,49.6,20.8,4.8,2.98,5.7,24.7,53.9,11.4,4.3,3.16
"학력별",대학원 졸업,3.1,23.8,46.6,18.6,7.8,2.96,5.7,19.8,35.1,30.9,8.4,2.83,7.6,23.4,45.9,13.6,9.5,3.06
"직업별",전문/관리,5.5,24.0,55.8,10.4,4.2,3.16,3.3,18.4,51.6,20.9,5.8,2.92,3.3,20.1,57.5,14.7,4.4,3.03
"직업별",사무직,4.8,28.9,51.7,10.1,4.6,3.19,4.2,21.9,52.3,18.2,3.4,3.05,4.2,27.5,56.8,8.8,2.7,3.22
"직업별",서비스/판매,6.4,33.5,45.7,10.3,4.2,3.28,4.7,25.5,48.7,15.6,5.6,3.08,4.6,28.9,50.2,9.9,6.4,3.15
"직업별",농/림/어업,7.1,44.7,39.0,5.4,3.8,3.46,6.2,39.8,40.8,9.0,4.2,3.35,6.9,39.1,44.5,7.0,2.6,3.41
"직업별",기능/단순노무,10.4,37.5,37.9,10.5,3.7,3.40,6.8,31.1,41.4,16.5,4.2,3.20,8.2,32.1,44.7,12.7,2.4,3.31
"직업별",학생,12.8,25.6,48.3,10.3,2.9,3.35,4.0,18.9,51.7,21.6,3.7,2.98,11.9,22.2,54.6,8.6,2.7,3.32
"직업별",주부,8.0,38.5,39.3,10.8,3.4,3.37,7.4,31.0,43.2,14.4,4.0,3.24,6.5,33.4,46.2,9.7,4.1,3.28
"직업별",무직/기타,7.8,35.2,39.8,12.7,4.4,3.29,5.7,28.6,42.0,19.6,4.1,3.12,6.3,32.0,47.1,10.0,4.6,3.26
