"행정구역(시)별(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시)별(1)",합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,부설,부설
"행정구역(시)별(1)",소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계,소계,소계,유료,유료,무료,무료,공영,공영,민영,민영,소계,소계
"행정구역(시)별(1)",주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면),주차장수 (개소),면수 (면)
"합계",28542,221928,6,337,695,16894,948,32293,58,1984,26835,170420,29085,229088,6,337,695,16894,951,32303,59,1999,27374,177555,31205,247299,5,253,695,16891,962,32546,65,2206,29478,195403,33573,268751,5,249,718,17862,1012,35991,100,3224,31738,211425,34390,298548,5,249,718,17862,1030,36901,92,2939,32545,240597,35342,327125,6,265,713,16194,1112,38398,93,2993,33418,269275,37195,340013,6,235,716,16323,901,31493,83,2804,35489,289158,41426,396638,7,346,722,16327,1283,41857,87,2893,39327,335215
"제주시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24261,225422,6,265,613,13826,739,22303,72,2416,22831,186612,25076,234475,6,235,614,13906,820,24307,74,2453,23562,193574,27427,244775,7,346,613,13796,851,24738,77,2532,25879,203363
"서귀포시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11081,101703,-,-,100,2368,373,16095,21,577,10587,82663,12119,105538,-,-,102,2417,81,7186,9,351,11927,95584,13999,151863,-,-,109,2531,432,17119,10,361,13448,131852
