관광지명,주소,분류,합산 검색 수,위도,경도
서귀포매일올레시장,제주 서귀포시 중앙로62번길 18,시장,254315.0,33.2507805,126.5643201
함덕해수욕장,제주 제주시 조함해안로 525,자연경관(하천/해양),190046.5,33.5513091,126.6459779
협재해수욕장,제주 제주시,자연경관(하천/해양),186280.5,33.395112,126.2402796
성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),177637.0,33.4621467,126.9364271
섭지코지,제주 서귀포시 섭지코지로 107,기타관광,115200.0,33.4305536,126.9278245
이호테우해변,제주 제주시,자연경관(하천/해양),123347.5,33.4976642,126.4527721671719
오설록티뮤지엄,제주 서귀포시 신화역사로 15,전시시설,108731.5,33.305894,126.28942
한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,104664.0,33.41908,126.62937
아르떼뮤지엄제주,제주 제주시 어림비로 478,전시시설,112589.5,33.4187001,126.3175522
곽지해수욕장,제주 제주시,자연경관(하천/해양),105556.0,33.4462516,126.3054926
비자림,제주 제주시 비자숲길 55,자연공원,91471.5,33.4944647,126.8113049
새별오름,제주 제주시,자연경관(산),62323.5,33.3663086,126.3574576
쇠소깍,제주 서귀포시 쇠소깍로 128,기타관광,75320.5,33.2522464,126.6230135
금오름,제주 제주시,자연경관(산),63180.0,33.3560233,126.305646
아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,87162.5,33.434451,126.9261159
천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),71475.5,33.2478279,126.5560823
주상절리대,제주 서귀포시 이어도로 36-3,기타관광,77401.0,33.2428198,126.4254269
금능해수욕장,제주 제주시 금능길 119-1,자연경관(하천/해양),77484.0,33.3866384,126.2247287
카멜리아힐,제주 서귀포시 병악로 166,테마공원,73734.5,33.2908264,126.3699237
신창풍차해안도로,제주 제주시,데이트코스,75319.5,33.3162921,126.1745681
김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),74076.5,33.5324596,126.8480392
용두암,제주 제주시 용두암길 15,기타관광,66026.0,33.5146459,126.5127972
용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,72012.0,33.2333679,126.3134004
월정리해변,제주 제주시,자연경관(하천/해양),60471.5,33.55599275,126.79603122376355
스누피가든,제주 제주시 금백조로 93,기타관광,75568.5,33.4375656,126.8099587
9.81파크,제주 제주시 천덕로 880-24,테마공원,54487.0,33.390017650000004,126.36435252267727
정방폭포,제주 서귀포시,자연경관(산),57079.5,33.2448578,126.5715451
중문색달해변,제주 서귀포시 중문관광로72번길 ,자연경관(하천/해양),58638.0,33.2492543,126.4074472
하귀애월해안도로,제주 제주시,데이트코스,54173.0,33.4631642,126.3311164
표선해수욕장,제주 서귀포시,자연경관(하천/해양),53970.5,33.3284502,126.836878
도두동무지개해안도로,제주 제주시,데이트코스,48109.5,33.5034656,126.4707206
광치기해변,제주 서귀포시,자연경관(하천/해양),47943.0,33.4530683,126.9249291
성산항,제주 서귀포시,자연경관(하천/해양),45996.0,33.4753885,126.9305089
빛의벙커,제주 서귀포시,전시시설,38336.0,33.4375501,126.9203422
사계해수욕장,제주 서귀포시,자연경관(하천/해양),44017.5,33.233284499999996,126.29957065120469
만장굴,제주 제주시 만장굴길 182,자연생태,45326.0,33.5284821,126.7713784
산방산,제주 서귀포시 산방로 218-1,자연경관(산),42995.0,33.2290745,126.2910597
산굼부리,제주 제주시,복합관광시설,35199.0,33.43178975,126.69374590036497
한담해안산책로,제주 제주시 애월로 ,기타레저스포츠,37246.5,33.4628883,126.3130734
뽀로로&타요테마파크제주,제주 서귀포시 병악로 269,테마공원,38983.0,33.2990817,126.3719644
세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),35614.0,33.5199004,126.8562321
제주절물자연휴양림,제주 제주시 명림로 584,자연공원,34636.5,33.4420246,126.629727
천제연폭포,제주 서귀포시 천제연로 132,자연경관(산),33823.0,33.2526946,126.4183484
