,특성별(1),특성별(2),2014,2014.1,2014.2,2014.3,2014.4,2014.5,2014.6,2014.7,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8
0,특성별(1),특성별(2),응답자수 (명),렌터카 (%),대절택시(가이드 동반 차량) (%),대중교통(버스/택시) (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),기타 (%),응답자수 (명),렌터카 (%),대절택시(가이드 동반 차량) (%),대중교통(버스/택시) (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),기타 (%),응답자수 (명),렌터카 (%),대절택시(가이드 동반 차량) (%),대중교통(버스/택시) (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),기타 (%),응답자수 (명),렌터카 (%),대절택시(가이드 동반 차량) (%),대중교통(버스/택시) (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),기타 (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구및지인차량 (%),기타 (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구및지인차량 (%),기타 (%)
11,연령별,21~30세,1019,6.2,46.3,14.2,22.6,9.3,0.4,1,1258,9.4,38.6,29.3,15.7,5.9,0.6,0.6,1732,9.2,26.5,32.1,25.8,4.9,0.3,1.2,1727,20.5,14.5,44.9,54,11.9,7.7,5.3,1.3,2152,14.8,20.5,37.1,8.0,2.3,0.2,8.7,8.3,2122,11.6,24.3,29.6,10.3,3.4,0.6,9.2,11.0
12,연령별,31~40세,719,4.6,48.7,10.8,23.2,9.3,0.3,3.1,552,11.2,39.7,27.2,15,5.8,0.4,0.7,1032,8,30.8,19.9,34.1,5.9,0.3,1,1192,20.7,22.6,33.7,46.9,16.3,6.6,1.6,1.2,1101,17.2,17.8,34.9,13.6,1.5,0.2,6.3,8.5,1171,14.4,17.9,28.7,17.0,1.0,0.2,9.1,11.7
13,연령별,41~50세,362,8.6,47.2,5,24,9.9,0,5.2,243,12.3,38.3,17.3,20.2,9.5,0,2.5,452,11.3,28.5,14.4,38.9,5.5,0,1.3,429,16.1,17,25.1,38.2,32.7,7,2.6,2.6,293,12.5,16.0,30.0,29.5,1.7,0.0,2.6,7.6,314,14.5,13.5,31.4,27.2,1.1,0.0,3.6,8.8
14,연령별,51~60세,125,10.4,35.2,9.6,28,8.8,0,8,138,10.9,32.6,20.3,31.2,5.1,0,0,244,8.2,38.4,15.9,31.8,4.9,0,0.8,170,18.5,22.1,21.6,39.1,27.1,8.5,2.1,3.7,154,12.5,18.9,17.8,39.3,0.9,0.0,3.3,7.3,134,9.8,15.1,21.5,41.0,4.6,0.0,0.8,7.2
15,연령별,61세 이상,84,11.9,35.7,7.1,40.5,1.2,0,3.6,61,9.8,39.3,13.1,27.9,4.9,0,4.9,96,10.4,40.6,10.4,31.3,4.2,1,2.1,81,15.3,14.8,31,41.9,33.6,9,0,10.8,63,3.0,18.5,31.2,29.9,4.9,0.0,3.1,9.4,98,13.2,11.8,28.0,21.4,1.0,0.0,8.4,16.1
16,방문목적별,휴가 및 순수여행,2386,6.5,47.7,10.2,25.4,8.2,0.3,1.6,2154,10.2,39.2,26.3,16.9,6.2,0.4,0.9,3568,8.4,30.3,23.9,31.4,5.1,0.2,0.7,3150,19.6,17.7,39.7,48.1,17.3,7.4,3.9,0.9,3419,15.9,21.0,33.8,13.0,2.1,0.1,6.2,7.9,3487,13.5,22.2,29.2,14.6,2.6,0.4,6.6,10.9
17,방문목적별,비즈니스여행,113,1.8,34.5,11.5,27.4,16.8,0.9,7.1,140,7.9,31.4,27.1,26.4,5.7,0,1.4,173,8.7,30.6,17.9,31.8,10.4,0,0.6,267,13.1,21,27.6,45.2,27.8,5.5,1.5,2.2,136,9.1,13.4,33.4,28.2,2.7,0.9,4.1,8.2,208,7.1,16.7,26.2,38.4,2.6,0.0,3.7,5.3
18,방문목적별,기타여행,125,4,26.4,10.4,28,17.6,0,13.6,104,8.7,24,44.2,10.6,7.7,1.9,2.9,164,16,19.6,33.7,16.6,3.7,0.6,9.8,410,21.5,19,26.6,51.6,15.4,6.2,1.5,6.9,360,8.7,12.7,43.3,6.7,1.0,0.0,17.0,10.6,308,6.2,12.1,28.7,7.8,0.5,0.5,29.2,15.0
19,여행형태별,개별여행,646,12.8,23.8,35.9,10.1,11.5,0.9,5,1120,17.9,19.7,50.2,4.6,4.7,0.8,2,1595,17,21.6,51.4,4.6,3.1,0.4,1.9,2890,23.4,14.9,46.4,58.8,4.1,7.5,4.6,2.1,3399,16.9,22.3,37.9,4.2,2.0,0.2,8.1,8.5,3307,15.3,24.6,33.4,1.8,2.5,0.5,9.7,12.2
20,여행형태별,완전패키지여행,1860,4.2,52.7,1.9,32,8,0.1,1.1,1204,2.6,54.7,5.1,29.5,8,0.1,0.1,2226,2.8,35.7,4,50.1,6.8,0.1,0.4,852,5.1,26.9,6.5,12.6,65.5,4.7,0.1,0.2,423,0.0,4.3,7.1,81.0,3.0,0.0,0.0,4.6,660,0.0,3.9,7.0,82.5,1.9,0.0,0.4,4.3
21,여행형태별,부분패키지여행,118,1.7,65.3,1.7,11,11,0,9.3,74,9.5,45.9,37.8,4.1,1.4,0,1.4,84,8.4,31.3,37.3,16.9,4.8,1.2,0,85,26.7,36.7,43.4,49.9,6.5,22.4,2.1,1.2,93,14.5,5.3,43.0,20.5,0.8,0.0,4.7,11.1,36,2.0,16.9,28.5,21.4,3.6,0.0,12.0,15.7
22,방문횟수별,1회,2344,5.8,45.6,10.6,27,8.7,0.3,1.9,2077,9.1,38.8,26.2,18.7,6,0.5,0.7,3423,8.1,31,23.2,31.4,5.3,0.2,0.8,3071,18.7,17.9,40.3,48,18.9,8,3.6,1.1,2629,16.7,23.4,31.2,16.6,1.8,0.0,3.3,7.0,2720,14.5,23.4,26.4,19.9,2.0,0.4,3.3,10.2
23,방문횟수별,2회,198,10.1,52.5,8.1,16.7,7.6,0,5.1,170,14.1,32.9,30.6,10,10,0,2.4,323,12.4,22.7,28.6,29.8,5,0,1.6,412,23.9,21.7,31.5,44.8,15.7,3.8,4,1.4,527,11.4,17.4,41.5,7.0,3.2,0.3,7.8,11.4,435,11.9,19.6,36.2,9.5,1.3,0.0,12.6,8.9
24,방문횟수별,3회,32,12.5,31.2,9.4,0,25,0,21.9,60,20,31.7,36.7,1.7,6.7,0,3.3,90,14.4,15.6,38.9,23.3,3.3,2.2,2.2,141,25.5,15.4,17.7,45.8,15.9,3.1,1,6.6,277,14.1,9.6,42.0,4.1,3.8,0.3,15.8,10.4,307,11.0,17.7,42.5,2.8,2.9,1.1,14.9,7.1
25,방문횟수별,4회 이상,50,6,56,6,12,16,0,4,91,14.3,36.3,35.2,5.5,4.4,0,4.4,69,14.5,27.5,24.6,17.4,7.2,0,8.7,200,17.1,14.6,20.5,61.7,6.6,4.9,3.5,7.5,483,10.3,10.2,41.8,4.5,1.1,0.4,22.1,9.5,542,5.1,12.9,28.5,4.1,5.2,0.4,25.2,18.7
