,특성별(1),특성별(2),2014,2014.1,2014.2,2014.3,2014.4,2014.5,2014.6,2014.7,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8
0,특성별(1),특성별(2),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),버스 (%),택시 (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구 및 지인차량 (%),기타 (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구 및 지인차량 (%),기타 (%)
10,거주지별,강원도,124,54.8,3.2,21.0,11.3,0.8,0.8,8.1,89,60.7,2.2,14.6,16.9,2.2,1.1,2.2,156,67.6,2.4,17.2,7.3,0.0,0.0,5.5,166,60.6,2.2,12.9,22.1,13.6,2.1,1.5,8.0,1284,82.2,3.5,4.1,2.8,0.1,0.5,2.9,4.0,1494,86.9,3.5,3.1,2.9,0.5,0.3,1.7,1.1
11,거주지별,충청도,249,66.3,4.0,12.9,3.2,0.0,2.4,11.2,139,64.0,2.9,23.7,2.9,3.6,1.4,1.4,278,72.8,6.5,11.6,4.1,0.0,1.8,3.2,355,71.5,1.3,15.9,16.5,4.5,0.3,0.2,8.6,99,77.6,3.5,1.1,6.6,1.3,0.0,4.2,5.8,53,79.8,4.5,2.2,6.1,0.0,0.0,2.4,4.9
12,거주지별,전라도,344,51.2,2.3,18.9,4.9,0.3,3.8,18.6,220,50.5,5.5,19.5,18.2,1.8,1.4,3.2,415,67.2,4.3,16.0,7.2,1.0,0.0,4.3,312,62.2,2.2,18.5,18.3,7.7,1.1,1.6,12.4,262,73.0,5.5,3.6,7.8,0.5,0.9,3.4,5.4,289,78.3,2.5,0.7,12.7,0.0,0.2,0.9,4.7
13,거주지별,경상도,398,63.3,4.5,15.8,2.8,1.0,4.5,7.8,249,61.4,3.2,21.7,5.2,0.0,4.4,4.0,492,71.0,1.3,13.6,7.2,0.3,2.0,4.6,416,70.5,1.6,15.1,17.1,9.7,0.4,2.1,7.8,385,74.8,3.5,4.0,5.5,0.7,1.6,2.6,7.3,553,77.7,2.8,2.3,5.9,0.7,2.8,2.0,5.9
14,거주지별,기타(국외),22,45.5,18.2,9.1,22.7,0.0,0.0,4.5,8,50.0,0.0,25.0,0.0,0.0,0.0,25.0,8,56.4,0.0,18.8,0.0,24.9,0.0,0.0,387,53.4,4.9,26.8,26.4,2.5,4.6,0.0,8.5,416,76.7,3.0,4.6,7.1,0.6,0.5,2.5,5.0,357,84.6,3.2,1.9,4.2,1.0,1.0,1.0,3.1
15,성별,남자,2297,63.5,2.7,17.3,3.6,0.3,3.4,9.1,1597,61.4,3.3,20.0,7.6,0.8,3.5,3.3,2731,71.5,2.9,15.2,4.8,0.4,1.3,3.8,50,53.4,4.9,21.5,9.3,2.5,0.0,0.0,8.5,11,78.4,11.4,0.0,0.0,0.0,0.0,10.1,0.0,16,83.3,0.0,7.7,7.7,0.0,0.0,0.0,1.2
16,성별,여자,1715,61.3,3.7,22.2,2.9,0.5,1.0,8.5,1639,55.8,3.3,29.8,5.1,0.5,1.0,4.4,3259,67.6,3.1,20.6,3.2,0.3,0.6,4.7,3037,65.3,0.9,13.7,8.9,4.6,0.4,0.6,5.6,2600,76.7,3.7,4.7,4.6,0.6,1.1,3.2,5.3,2400,84.7,2.9,2.9,3.9,0.3,1.2,2.1,2.1
17,연령별,15~20세,114,44.7,3.5,34.2,2.6,0.0,8.8,6.1,414,22.9,1.9,41.8,22.2,2.7,3.9,4.6,311,32.1,3.3,49.5,5.5,0.0,3.2,6.4,400,36.3,2.4,27.6,18.5,11.2,0.1,0.4,3.6,3581,82.4,4.5,3.8,3.0,0.4,0.1,2.7,3.0,3733,87.2,3.4,2.3,2.9,0.5,0.1,1.5,2.1
18,연령별,21~30세,1049,61.6,3.1,24.9,1.3,0.3,3.2,5.5,1276,60.7,2.4,28.1,1.9,0.5,3.7,2.7,1958,70.2,1.7,21.3,2.3,0.4,1.1,3.0,2101,67.2,0.6,14.6,8.1,2.8,0.3,1.6,4.7,127,45.1,18.1,15.4,16.6,1.0,0.0,0.3,3.5,70,53.5,6.8,6.4,28.1,0.0,1.6,1.8,1.8
19,연령별,31~40세,1183,68.8,2.2,16.0,2.8,0.3,2.0,7.9,707,74.8,1.8,14.0,3.3,0.3,1.1,4.7,1731,79.4,1.9,11.3,3.0,0.1,0.8,3.5,1525,73.7,0.4,7.9,6.5,3.1,0.3,1.0,7.1,1412,77.9,8.9,6.0,1.5,0.1,0.4,3.0,2.3,1376,87.1,6.1,4.0,0.3,0.0,0.5,1.3,0.7
