"특성별(1)",특성별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"특성별(1)",특성별(2),전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위,2순위
"특성별(1)",특성별(2),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),기후/사계절 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),한류관광지(드라마촬영장 등) (%),테마파크 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),기후/사계절 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),한류관광지(드라마촬영장 등) (%),테마파크 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),기후/사계절 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),한류관광지(드라마촬영장 등) (%),테마파크 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),숙박/교통 등 관광편리성 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),숙박/교통 등 관광편리성 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),숙박/교통 등 관광편리성 (%),기타 (%),응답자수 (명),자연경관 감상 (%),휴양/휴식 (%),역사/문화유적/전통문화체험 (%),음식/미식탐방 (%),쇼핑 (%),여행비용 (%),자국과의 이동거리 (%),안전 및 치안 (%),숙박/교통 등 관광편리성 (%)
"거주지별",울산시,98,54.1,33.7,1.0,4.1,0.0,0.0,2.0,3.1,0.0,0.0,2.0,0.0,50,36.0,26.0,0.0,6.0,0.0,6.0,10.0,10.0,0.0,2.0,4.0,0.0,122,37.7,35.2,4.1,4.9,0.8,0.8,3.3,7.4,0.0,0.8,2.5,2.5,187,59.8,26.3,2.7,5.5,0.0,0.6,0.0,0.0,2.8,2.4,182,21.8,56.1,3.4,9.8,0.0,2.8,1.3,0.0,4.8,0.0,187,80.2,15.7,0.7,2.0,0.0,0.0,0.7,0.0,0.7,0.0,187,8.3,77.9,1.3,4.6,0.0,0.7,2.7,0.7,3.8
"거주지별",세종시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,62.7,33.3,3.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,34,15.3,48.0,0.0,26.0,0.0,0.0,3.5,0.0,3.6,3.7,76,83.6,9.7,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,76,8.3,82.3,0.0,6.2,0.0,0.0,3.2,0.0,0.0
"거주지별",경기도,799,48.1,33.4,0.9,2.9,0.3,2.1,4.1,3.5,0.9,0.4,0.5,2.8,682,42.1,34.6,0.6,4.3,0.6,1.8,3.7,5.6,1.3,0.3,0.7,4.5,1361,39.3,38.8,1.5,4.8,0.2,0.9,3.3,7.3,0.2,0.2,0.8,2.6,1284,55.4,30.1,1.3,6.5,0.1,1.2,2.1,0.2,2.9,0.2,1264,23.9,45.9,3.6,11.2,0.4,1.9,1.9,0.2,10.7,0.2,1494,75.4,17.2,0.3,4.5,0.0,0.7,0.8,0.0,1.1,0.1,1488,11.7,69.4,1.3,8.3,0.2,1.3,3.7,0.1,4.1
"거주지별",강원도,124,46.0,30.6,0.8,6.5,0.0,1.6,4.0,6.5,0.8,2.4,0.0,0.8,89,32.6,38.2,1.1,4.5,0.0,1.1,10.1,3.4,2.2,2.2,0.0,4.5,156,33.1,43.3,2.5,5.1,0.0,0.0,3.8,3.8,0.6,0.0,0.6,7.0,99,46.1,37.9,0.0,3.6,0.0,3.5,2.5,1.3,5.1,0.0,96,28.1,42.1,2.7,17.1,1.2,3.6,0.2,0.0,5.0,0.0,53,72.0,19.5,2.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,53,8.6,64.2,6.9,6.9,4.1,2.4,4.5,0.0,2.4
"거주지별",충청도,249,47.0,34.9,1.6,2.8,0.8,1.2,2.0,4.8,0.4,0.4,0.8,2.8,139,35.3,40.3,2.9,5.0,0.0,4.3,6.5,4.3,0.0,0.0,1.4,0.0,278,42.8,37.1,1.4,5.0,0.4,2.2,3.6,2.5,0.4,0.4,0.7,3.6,262,62.9,27.5,1.8,2.2,0.1,0.1,1.0,0.0,3.9,0.6,255,20.7,54.7,3.8,10.4,0.1,1.2,1.0,0.0,8.0,0.1,289,73.8,16.9,1.6,3.4,0.0,0.4,1.3,0.0,2.2,0.4,287,12.6,65.9,2.5,12.1,0.0,0.9,3.0,0.0,2.9
"거주지별",전라도,344,56.4,28.8,1.2,2.9,0.3,1.5,2.3,2.9,0.0,0.3,0.3,3.2,220,41.8,32.3,3.2,3.6,0.9,0.9,4.5,4.5,1.4,2.3,2.7,1.8,415,40.9,36.1,1.0,4.6,0.0,2.9,2.2,7.9,1.2,0.2,0.2,2.9,385,61.7,25.9,2.0,4.5,0.0,1.2,0.5,0.4,3.6,0.3,380,22.1,55.3,2.1,8.9,0.0,2.0,1.9,0.6,7.1,0.0,553,84.0,11.6,1.1,2.2,0.0,0.0,0.3,0.3,0.3,0.2,552,8.7,75.8,2.9,6.8,0.0,1.0,1.9,0.3,2.5
"거주지별",경상도,398,52.8,31.4,0.8,1.8,0.0,0.8,1.8,6.5,1.3,0.3,1.3,1.0,249,43.4,32.1,2.0,4.4,0.8,0.4,3.6,4.0,0.8,0.8,1.2,6.4,492,43.6,33.3,1.8,4.5,0.2,2.0,4.1,5.5,0.6,0.8,1.4,2.2,416,61.7,25.2,0.6,6.8,0.0,1.3,0.6,0.3,2.4,1.1,410,21.7,53.4,4.2,7.9,0.0,0.7,1.4,0.3,9.5,0.9,357,75.2,17.2,0.8,2.6,0.0,0.7,1.4,0.0,2.1,0.0,354,11.6,66.4,3.2,10.6,0.3,3.0,1.1,0.1,3.8
"거주지별",기타 지역,22,68.2,18.2,0.0,9.1,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,8,25.0,37.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,25.0,8,44.4,22.2,0.0,11.1,0.0,0.0,0.0,11.1,0.0,0.0,0.0,11.1,11,55.1,21.6,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,11,34.7,43.7,0.0,0.0,10.1,0.0,0.0,0.0,11.4,0.0,16,66.6,2.5,7.7,7.7,0.0,0.0,15.5,0.0,0.0,0.0,16,7.7,52.2,7.7,32.3,0.0,0.0,0.0,0.0,0.0
"성별",남자,2297,47.1,33.8,1.2,2.6,0.2,1.8,3.1,4.7,0.8,0.4,1.0,3.1,1597,38.3,35.1,1.5,3.4,0.4,2.2,4.6,6.6,0.6,0.6,1.2,5.5,2731,43.1,34.3,1.4,4.4,0.1,1.6,3.4,6.2,0.8,0.3,0.6,3.6,2600,57.5,27.4,1.2,5.0,0.0,1.2,2.0,0.1,4.5,1.0,2552,22.3,49.6,3.1,11.8,0.4,2.4,2.0,0.3,7.7,0.4,2400,70.5,20.5,1.1,3.4,0.0,0.8,2.0,0.1,1.5,0.1,2391,12.9,63.6,2.6,10.5,0.3,2.3,2.9,0.4,4.5
"성별",여자,1715,48.9,34.5,1.1,3.6,0.2,0.7,3.3,3.6,0.9,0.4,0.6,2.0,1639,40.5,35.0,1.9,5.5,0.4,1.3,4.0,4.7,1.0,0.5,1.3,3.7,3259,40.5,37.8,1.2,5.5,0.3,1.4,3.4,6.3,0.4,0.4,0.8,2.2,3581,59.2,29.3,1.3,4.7,0.1,0.8,1.0,0.2,2.8,0.5,3533,23.6,51.8,3.0,9.1,0.3,1.2,1.3,0.3,9.2,0.1,3733,78.0,15.4,0.7,3.5,0.1,0.3,1.1,0.0,0.8,0.1,3721,11.0,72.1,1.4,6.9,0.6,0.8,2.9,0.3,3.8
