년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2020-01-01,제주시,외도동,그외 기타 종합 소매업,남성,4,1120000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,과실 및 채소 소매업,남성,120,19755300,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,건강보조식품 소매업,남성,15,2117620,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,화장품 및 방향제 소매업,여성,15,11659500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,한식 음식점업,여성,5248,170311251,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,과실 및 채소 소매업,여성,146,14205500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,자동차 임대업,여성,168,8243090,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,비알콜 음료점업,여성,2329,34432340,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,빵 및 과자류 소매업,여성,966,24586650,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,서양식 음식점업,여성,973,14725715,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,중식 음식점업,여성,115,3746000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,그외 기타 종합 소매업,여성,1412,70291000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,수산물 소매업,여성,15,1273000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,기타 외국식 음식점업,여성,24,444000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,여관업,여성,46,3275024,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,욕탕업,여성,6,37500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,육류 소매업,여성,221,22927390,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,일식 음식점업,여성,25,4418100,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,슈퍼마켓,여성,4214,159537384,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,스포츠 및 레크레이션 용품 임대업,여성,421,34199700,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,외도동,슈퍼마켓,남성,8563,193719200,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,여행사업,여성,3,1709990,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,수산물 소매업,남성,27,686800,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,연동,차량용 가스 충전업,여성,19,1191580,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,중식 음식점업,남성,2943,102070130,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,서양식 음식점업,남성,4101,150224056,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,기타 외국식 음식점업,남성,735,40325100,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,기타 주점업,남성,808,205662008,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,마사지업,남성,50,6932000,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,면세점,남성,24,15141350,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,비알콜 음료점업,남성,6016,65815160,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,빵 및 과자류 소매업,남성,3866,67597520,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,수산물 소매업,남성,73,19710000,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,중식 음식점업,여성,1657,55177758,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,슈퍼마켓,남성,22227,535856920,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,스포츠 및 레크레이션 용품 임대업,남성,1424,196170365,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,여관업,남성,2347,188325005,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,여행사업,남성,91,33453680,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,욕탕업,남성,1383,18300900,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,육류 소매업,남성,241,20271882,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,그외 기타 종합 소매업,남성,3,1410000,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,관광 민예품 및 선물용품 소매업,남성,467,17379300,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,과실 및 채소 소매업,남성,199,20297000,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,골프장 운영업,남성,422,41735700,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,건강보조식품 소매업,남성,129,20060475,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,애월읍,휴양콘도 운영업,여성,12,1814000,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,화장품 및 방향제 소매업,여성,107,9028490,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,호텔업,여성,2,28000,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,연동,일반유흥 주점업,남성,2940,782615608,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,애월읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1238,19501250,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,체인화 편의점,여성,13153,138620035,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,차량용 주유소 운영업,여성,5231,298448047,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,차량용 가스 충전업,여성,135,10070250,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,중식 음식점업,여성,424,12238000,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,전시 및 행사 대행업,여성,668,22681150,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,애월읍,자동차 임대업,여성,79,5772160,11334754.65,832367.326,7254038.019,2020-12-15
2020-01-01,제주시,연동,일식 음식점업,남성,2121,155520650,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,자동차 임대업,남성,903,50255423,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,전시 및 행사 대행업,여성,1472,14640400,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,건강보조식품 소매업,여성,127,16366100,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,일반유흥 주점업,여성,945,119704100,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,육류 소매업,여성,320,24970700,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,욕탕업,여성,869,17926200,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,여행사업,여성,139,51088910,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,정기 항공 운송업,남성,12752,2055938826,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,여관업,여성,988,83137549,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,일식 음식점업,여성,1174,68316710,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,슈퍼마켓,여성,20596,588945570,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,서양식 음식점업,여성,4728,97745128,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,빵 및 과자류 소매업,여성,5500,90878590,15596659.07,1862889.878,7404723.053,2020-12-15
