구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2014-01,625757,0,73548,106302,61147,465043,51300,6148,9365,2014-12-31
2014-02,456948,141963,57045,122664,70570,416401,35723,805,9793,2014-12-31
2014-03,495059,123677,101961,120475,78902,451809,24256,35665,9590,2014-12-31
2014-04,553170,166682,108445,125210,73678,532210,25773,60043,11383,2014-12-31
2014-05,602520,89814,26711,109180,66528,512582,21622,100,9033,2014-12-31
2014-06,580799,129316,32837,89156,63838,552146,27827,99,9886,2014-12-31
2014-07,593036,111314,30670,67466,74630,565490,16444,312,10678,2014-12-31
2014-08,621246,115355,3260,80641,36155,632004,12052,1610,6739,2014-12-31
2014-09,575139,109440,68268,49716,51680,518467,98800,15068,19116,2014-12-31
2014-10,682589,120417,77937,94680,161038,529631,42074,27159,26361,2014-12-31
2014-11,573147,110110,79501,164972,148226,381716,23998,18799,25047,2014-12-31
2014-12,533797,98698,46085,51725,131994,434068,34484,4465,21844,2014-12-31
