구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2016-01,778483,73110,32873,133046,82858,604407,58489,1191,4475,2016-12-31
2016-02,801774,72988,4946,128470,72990,619239,49444,238,9327,2016-12-31
2016-03,741519,93703,85360,148991,84988,621087,37045,22165,6306,2016-12-31
2016-04,803915,123369,139226,155853,87015,744891,26783,47344,4624,2016-12-31
2016-05,838538,98030,159007,186134,89848,722003,28394,66431,2765,2016-12-31
2016-06,920785,90269,54187,123254,58238,838651,20383,13420,11295,2016-12-31
2016-07,953212,158111,32255,109282,107397,894984,23866,2422,5627,2016-12-31
2016-08,952775,133319,30355,115154,49269,933247,11593,4272,2914,2016-12-31
2016-09,830191,142755,55018,62085,65527,758247,109992,17574,14839,2016-12-31
2016-10,884835,115386,110055,134321,150503,692378,47659,57379,28036,2016-12-31
2016-11,818873,98010,73339,202203,141857,582907,30951,8858,23446,2016-12-31
2016-12,828204,82199,38985,80724,82200,727366,44836,1621,12641,2016-12-31
