구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2013-01,528395,0,54715,114183,69680,351315,27186,10203,10543,2013-12-31
2013-02,394387,138704,38830,98348,63133,343063,56569,1460,9348,2013-12-31
2013-03,369833,136895,100532,105074,76729,362546,17305,34920,10686,2013-12-31
2013-04,431357,170503,207134,108784,101087,463916,14394,111479,9334,2013-12-31
2013-05,456881,156264,235587,132069,68796,482424,14763,141467,9213,2013-12-31
2013-06,423331,175852,115564,122657,90145,432947,15366,45093,8539,2013-12-31
2013-07,479550,173188,55822,90544,76640,504678,18217,9840,8641,2013-12-31
2013-08,573770,150742,58438,78452,41087,627028,18276,9736,8371,2013-12-31
2013-09,531335,95778,75412,41300,41131,494381,64023,38044,23646,2013-12-31
2013-10,484181,164539,163230,137835,92011,480084,19083,73429,9508,2013-12-31
2013-11,448670,159022,119151,166174,102916,410329,11729,26982,8713,2013-12-31
2013-12,467795,112445,69585,110708,82765,425905,13449,6293,10705,2013-12-31
