구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2019-01,916626,77686,29818,110536,24277,835112,46126,687,7392,2019-12-31
2019-02,704981,199100,94809,114782,71107,760851,42665,0,9485,2019-12-31
2019-03,837709,165242,35272,171844,85051,699855,60751,13402,7320,2019-12-31
2019-04,908639,174689,75338,194187,89367,745744,68145,52616,8607,2019-12-31
2019-05,884364,146160,145535,129034,50526,874526,30678,83508,7787,2019-12-31
2019-06,914476,192687,47857,156384,53699,852915,75809,13114,3099,2019-12-31
2019-07,924637,200162,32648,58971,63065,945970,76775,2486,10180,2019-12-31
2019-08,1109760,84932,48440,149354,39634,1024831,16986,3144,9183,2019-12-31
2019-09,834467,140645,57366,67494,64248,796500,68554,20301,15381,2019-12-31
2019-10,1044280,121052,89087,193546,118238,729136,121053,60936,31510,2019-12-31
2019-11,1027256,76482,74030,159208,45887,841307,89593,23770,18003,2019-12-31
2019-12,1111007,23817,8948,83319,62792,930059,45471,2452,19679,2019-12-31
