구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2015-01,624526,96124,72018,127063,75791,521304,55457,3621,9432,2015-12-31
2015-02,595357,103768,22462,134718,72552,459032,43058,202,12025,2015-12-31
2015-03,635832,110797,45085,143528,78294,490004,44581,20466,14841,2015-12-31
2015-04,600794,221013,117518,146259,83467,623087,27927,44893,13662,2015-12-31
2015-05,760163,134508,120668,179944,87166,628479,29779,71746,18225,2015-12-31
2015-06,610193,114121,32073,76661,50916,581219,17557,16271,13763,2015-12-31
2015-07,799435,157366,38571,90603,100920,764619,22237,2648,14345,2015-12-31
2015-08,919417,159458,36248,117021,52321,914476,17440,3859,10006,2015-12-31
2015-09,746589,137996,78567,58072,61332,372526,120474,25997,24751,2015-12-31
2015-10,704976,211393,179883,141554,168641,662736,45129,46873,31319,2015-12-31
2015-11,673215,191685,87623,208080,187279,484726,24236,17119,31083,2015-12-31
2015-12,753937,111982,34804,62884,108871,656346,43549,3700,25373,2015-12-31
