구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2017-01,894040,82672,28726,115326,69954,718621,98571,109,2857,2017-12-31
2017-02,821245,78816,5760,103570,76002,675592,47853,130,2674,2017-12-31
2017-03,805739,149467,45665,90054,91981,724341,66110,19797,8588,2017-12-31
2017-04,950201,142755,121632,132865,95170,892918,29857,60635,3143,2017-12-31
2017-05,929167,143207,146963,167295,90130,866575,32054,60053,3230,2017-12-31
2017-06,1041106,97832,48450,123460,63591,953884,19566,14210,12677,2017-12-31
2017-07,1016349,154012,20950,120423,102675,947766,15796,1205,3446,2017-12-31
2017-08,1144262,73443,22684,130712,48962,1040438,12241,4323,3713,2017-12-31
2017-09,960818,165187,60043,72000,75824,931546,73116,16715,16847,2017-12-31
2017-10,966747,137072,125860,152179,134329,775827,93209,51842,22293,2017-12-31
2017-11,905898,108449,83640,223950,156964,645007,34247,12292,25527,2017-12-31
2017-12,869130,104006,70639,97218,95795,790990,46529,2214,11029,2017-12-31
